H	Env	GY_BLUE	GM_BLUE	NE_BLUE
H_183	2007_CAMPO_MOURAO	3.75099999182868	14.3573495075303	39.4095817671975
H_184	2007_CAMPO_MOURAO	4.14000000063245	28.5970573183695	30.753550617789
H_185	2007_CAMPO_MOURAO	3.45799996954095	31.9000047976973	32.0195038936761
H_186	2007_CAMPO_MOURAO	3.87349998856521	26.9823487079141	31.8315661924932
H_187	2007_CAMPO_MOURAO	2.98049996668226	23.5088264456591	32.0585116810283
H_188	2007_CAMPO_MOURAO	3.34550004288047	25.2661791516544	35.9804961063239
H_189	2007_CAMPO_MOURAO	2.64899994092868	29.1749976011514	32.9272858478159
H_190	2007_CAMPO_MOURAO	3.12450005502361	27.8367683276735	36.3120622988172
H_191	2007_CAMPO_MOURAO	3.46100005325273	27.5514721404315	36.0461090229301
H_192	2007_CAMPO_MOURAO	3.27349996645457	22.4279450804792	35.5585116810282
H_193	2007_CAMPO_MOURAO	4.38899998297431	24.2426424963074	34.7340467241129
H_99	2007_CAMPO_MOURAO	3.7184999589916	23.0779450804792	33.8634727442675
H_100	2007_CAMPO_MOURAO	4.44600002031446	28.7749992003838	34.4928987644221
H_194	2007_CAMPO_MOURAO	3.90699996837724	23.7411767528057	39.5851168102822
H_195	2007_CAMPO_MOURAO	3.58050000156849	28.2205907752515	28.8244649569154
H_196	2007_CAMPO_MOURAO	4.45650007268176	28.0411831497355	40.8315661924933
H_197	2007_CAMPO_MOURAO	2.72950004624513	35.929407625516	33.3510700861693
H_198	2008_CAMPO_MOURAO	6.69148383228784	30.378716281604	36.9167216929205
H_199	2008_CAMPO_MOURAO	4.56255904035328	28.4580236669198	29.6761626261674
H_200	2008_CAMPO_MOURAO	5.77626801512148	33.6966216139285	29.3371537276358
H_201	2008_CAMPO_MOURAO	6.05780495368989	31.5698480181699	36.0133163538033
H_7	2008_CAMPO_MOURAO	3.66682808523072	29.0347972626784	26.8712071188252
H_8	2008_CAMPO_MOURAO	3.2140802953291	30.0236487025003	26.2764676288398
H_202	2008_CAMPO_MOURAO	4.45117536592532	29.8206926146878	30.1950444926578
H_203	2008_CAMPO_MOURAO	5.83019486496549	28.8440878243749	33.6931893217621
H_204	2008_CAMPO_MOURAO	6.22400212022721	31.4603039636602	35.4640914379148
H_205	2008_CAMPO_MOURAO	5.50425620689061	33.74847961241	35.1269377102789
H_206	2008_CAMPO_MOURAO	5.07960300426655	29.1021114912947	34.6913341508664
H_207	2008_CAMPO_MOURAO	4.96497014669059	32.61832763058	31.6306480520704
H_208	2008_CAMPO_MOURAO	5.32792067371162	32.4250844027229	34.0625412696916
H_209	2008_CAMPO_MOURAO	6.77167288381	33.5139358425448	35.9678017797063
H_210	2008_CAMPO_MOURAO	6.92458471632699	34.020523809242	40.6439644058736
H_211	2008_CAMPO_MOURAO	5.72392376137725	33.2755067009818	32.0321982202937
H_212	2008_CAMPO_MOURAO	7.32256303794664	29.1282939833486	38.9678017797063
H_213	2008_CAMPO_MOURAO	5.12436926265125	33.3265201029455	31.9034053391188
H_214	2008_CAMPO_MOURAO	6.50835709092994	27.2902871400445	36.8541804232305
H_215	2008_CAMPO_MOURAO	5.62251392845809	27.7584459651787	33.6743074552717
H_216	2008_CAMPO_MOURAO	5.48188107088212	29.924662104464	30.1136213564757
H_217	2008_CAMPO_MOURAO	5.84783159790316	31.2814188766069	33.045514574097
H_218	2008_CAMPO_MOURAO	6.10708380800153	30.3702703164288	34.4507750841116
H_219	2008_CAMPO_MOURAO	5.69749564051853	26.276858283126	33.1269377102789
H_220	2008_CAMPO_MOURAO	6.12733468556878	27.7318411748658	35.015171524699
H_221	2008_CAMPO_MOURAO	6.70397396213817	28.8846284572326	36.9507750841116
H_222	2008_CAMPO_MOURAO	6.52110578915702	26.9504222982589	34.6761626261674
H_223	2008_CAMPO_MOURAO	5.98558629011685	32.8770270885718	28.6780177970631
H_224	2008_CAMPO_MOURAO	5.61731978967229	28.7832768750884	35.3352985567401
H_225	2008_CAMPO_MOURAO	5.40037755820968	34.1280404905354	30.939313901204
H_226	2008_CAMPO_MOURAO	4.14349212784609	30.0802366691974	39.4526302550072
H_227	2008_CAMPO_MOURAO	5.97233117289635	28.5352195609373	37.3408640694272
H_228	2008_CAMPO_MOURAO	5.42747044946574	28.7880068433041	31.2764676288398
H_229	2008_CAMPO_MOURAO	4.88460227648459	24.4038006843304	28.5018551708957
H_230	2008_CAMPO_MOURAO	5.85708277744442	28.5304054746432	36.5037103417913
H_231	2008_CAMPO_MOURAO	6.07607199977066	28.4221283149103	39.7405590667547
H_232	2008_CAMPO_MOURAO	5.99326450244904	26.1	32.1628462723641
H_233	2008_CAMPO_MOURAO	5.4382866058362	30.7160473338395	35.3371537276359
H_234	2008_CAMPO_MOURAO	5.08665374826023	28.1822634731248	29.7764676288398
H_235	2008_CAMPO_MOURAO	5.11010427528127	26.6890202452677	30.2083608464611
H_236	2008_CAMPO_MOURAO	5.09085648537964	26.7278716850896	33.6136213564757
H_237	2008_CAMPO_MOURAO	5.59126831789664	30.2344596517868	38.2897839826431
H_238	2008_CAMPO_MOURAO	5.7551073629469	28.9394425435266	35.6780177970631
H_239	2008_CAMPO_MOURAO	5.69274663951629	27.3422298258934	35.1136213564757
H_240	2008_CAMPO_MOURAO	4.91837846653514	26.2580236669197	36.8390088985315
H_241	2008_CAMPO_MOURAO	4.37735896749497	31.7346284572326	30.3408640694272
H_242	2008_CAMPO_MOURAO	5.07604069249959	26.9042229825893	36.5
H_243	2008_CAMPO_MOURAO	5.4073056806707	25.9708614201336	32.515171524699
H_244	2008_CAMPO_MOURAO	5.34917282309473	28.8370775594188	31.9544854259029
H_245	2008_CAMPO_MOURAO	5.75912335011577	27.5438343315618	36.3863786435242
H_246	2008_CAMPO_MOURAO	7.16087556021415	25.2826857713837	43.2916391535388
H_247	2008_CAMPO_MOURAO	5.47878739273114	27.8892737380808	33.4678017797062
H_248	2008_CAMPO_MOURAO	5.6606264377814	30.2942566298207	34.3560355941262
H_249	2008_CAMPO_MOURAO	5.55926571435079	28.0470439121875	33.2916391535388
H_250	2008_CAMPO_MOURAO	5.35839754136964	27.0128377532138	35.0170266955947
H_251	2008_CAMPO_MOURAO	5.28037804232947	26.4894425435267	37.5188818664903
H_252	2008_CAMPO_MOURAO	5.01532287733791	30.8836991733473	30.3049555073421
H_253	2008_CAMPO_MOURAO	6.0460597673341	28.1590370688834	34.6780177970631
H_254	2008_CAMPO_MOURAO	6.34521945046797	28.1510134019637	40.3541804232305
H_255	2008_CAMPO_MOURAO	5.13053711991304	26.9239863133919	34.7253875420557
H_256	2008_CAMPO_MOURAO	6.58878933001141	27.4128377532138	39.1306480520704
H_257	2008_CAMPO_MOURAO	6.02470116252841	23.4194257199109	38.8068106782377
H_258	2008_CAMPO_MOURAO	7.14354020757867	28.1744086116508	36.1950444926578
H_259	2008_CAMPO_MOURAO	5.89417948414805	27.8271958940176	36.1306480520704
H_260	2008_CAMPO_MOURAO	5.69081131116691	25.9929897350439	34.8560355941262
H_261	2008_CAMPO_MOURAO	5.53979181212674	25.7195945253568	34.8578907650219
H_262	2008_CAMPO_MOURAO	5.3204621539073	28.0864864557141	33.7405590667547
H_263	2008_CAMPO_MOURAO	5.24197353713136	28.5891890507135	33.5170266955947
H_264	2008_CAMPO_MOURAO	5.87441189323225	29.9918075276345	35.2897839826432
H_265	2008_CAMPO_MOURAO	5.56527903565628	28.4080236669198	31.2290978838471
H_266	2008_CAMPO_MOURAO	5.93872956267732	27.6147804390627	41.1609911014684
H_267	2008_CAMPO_MOURAO	5.33348177277569	28.0036318788846	38.066251611483
H_268	2008_CAMPO_MOURAO	5.44539360529269	32.0102198455818	38.7424142376503
H_269	2008_CAMPO_MOURAO	4.40573265034295	28.5152027373216	33.6306480520704
H_270	2008_CAMPO_MOURAO	5.51737192691234	31.7679900196884	35.566251611483
H_271	2008_CAMPO_MOURAO	6.19900375393119	30.7837838607147	33.2916391535388
H_272	2008_CAMPO_MOURAO	5.83398425489102	27.2603886510276	34.7934943244345
H_273	2008_CAMPO_MOURAO	5.16909398092616	29.7522802967404	32.4659466088105
H_274	2008_CAMPO_MOURAO	6.07466597989565	27.1799831763843	32.9526302550073
